Daniel Gutierez
[
[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,19,19,19,19,19,19,19,19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,],
[ 0, 0, 0, 0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19, 0, 0, 0, 0, 0, 0, 0,],
[ 0, 0, 0, 0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,27, 0, 0, 0, 0, 0, 0,],
[ 0,19, 0, 0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,27,19,19, 0, 0, 0, 0,],
[ 0,19, 0, 0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,27,19,19,19, 0, 0, 0,],
[ 0,19,19,19,19,19,19,19,19,19,19,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,27,19,19,19, 0, 0, 0,],
[ 0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,27,18,18,18,18,18,18,18, 2,27,19,19,19, 0, 0, 0,],
[ 0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,27,18, 0, 2,16, 0,27,27,27,19,19,19, 0, 0, 0,],
[ 0,19,19,19,19,19,19,19,19,19,19,19,19,19,15,18,18,18,18,27,27,27,27,27,27,19,27,19,19,19, 0, 0, 0,],
[ 0,19,19,19,19,19,19,19,19,19,19,19,19,19,27,18,18,18,18,18,18,19,19,19,19,19,27,19,19,19, 0, 0, 0,],
[ 0,19,19,19,19,19,19,19,19,19,19,19,19,19,27, 2, 2,18,18,18,18,19,19,19,19,19,27,19,19,19, 0, 0, 0,],
